Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2019;U;VI;Justitie en Veiligheid;34;Straffen en beschermen;2686793;0;0;0;0
2019;V;VI;Justitie en Veiligheid;34;Straffen en beschermen;2686793;0;0;0;0
2019;O;VI;Justitie en Veiligheid;36;Contraterrorisme en nationaal veiligheidsbeleid;2000;0;0;0;0
2019;U;VI;Justitie en Veiligheid;36;Contraterrorisme en nationaal veiligheidsbeleid;271971;0;0;0;0
2019;V;VI;Justitie en Veiligheid;36;Contraterrorisme en nationaal veiligheidsbeleid;271971;0;0;0;0
2019;O;VI;Justitie en Veiligheid;37;Migratie;96800;0;0;0;0
2019;U;VI;Justitie en Veiligheid;37;Migratie;1063580;0;0;0;0
2019;V;VI;Justitie en Veiligheid;37;Migratie;1063580;0;0;0;0
2019;O;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;21124;0;0;0;0
2019;U;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;434493;0;0;0;0
2019;V;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;434493;0;0;0;0
2019;U;VI;Justitie en Veiligheid;92;Nog onverdeeld;9394;0;0;0;0
2019;V;VI;Justitie en Veiligheid;92;Nog onverdeeld;9394;0;0;0;0
2019;U;VI;Justitie en Veiligheid;93;Geheim;3051;0;0;0;0
2019;V;VI;Justitie en Veiligheid;93;Geheim;3051;0;0;0;0
2019;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;1;Openbaar bestuur en democratie;21965;0;0;0;0
2019;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;1;Openbaar bestuur en democratie;59323;0;0;0;0
2019;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;1;Openbaar bestuur en democratie;59323;0;0;0;0
2019;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;2;Nationale veiligheid;13214;0;0;0;0
